Web Search interest: health recipe pizza recipe bread recipe pasta recipe pumpkin pie recipe,,,,,
Worldwide Jan 2015 - Mar 2016,,,,,
,,,,,
Interest over time,,,,,
Week,healthy recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
2015-01-04 - 2015-01-10,35,37,75,38,2
2015-01-11 - 2015-01-17,35,35,73,36,2
2015-01-18 - 2015-01-24,32,36,73,34,2
2015-01-25 - 2015-01-31,30,39,75,35,2
2015-02-01 - 2015-02-07,27,36,70,33,2
2015-02-08 - 2015-02-14,26,34,68,37,2
2015-02-15 - 2015-02-21,27,36,75,35,1
2015-02-22 - 2015-02-28,26,34,71,33,1
2015-03-01 - 2015-03-07,25,34,69,34,1
2015-03-08 - 2015-03-14,24,32,69,33,2
2015-03-15 - 2015-03-21,31,31,73,32,1
2015-03-22 - 2015-03-28,25,31,63,34,1
2015-03-29 - 2015-04-04,23,33,71,34,1
2015-04-05 - 2015-04-11,25,30,60,31,1
2015-04-12 - 2015-04-18,24,29,56,32,1
2015-04-19 - 2015-04-25,25,29,57,32,1
2015-04-26 - 2015-05-02,24,29,54,32,1
2015-05-03 - 2015-05-09,24,27,51,31,1
2015-05-10 - 2015-05-16,23,27,52,33,1
2015-05-17 - 2015-05-23,22,28,53,34,1
2015-05-24 - 2015-05-30,23,30,52,33,1
2015-05-31 - 2015-06-06,23,30,54,32,1
2015-06-07 - 2015-06-13,23,28,53,32,1
2015-06-14 - 2015-06-20,22,29,55,33,1
2015-06-21 - 2015-06-27,23,30,56,34,1
2015-06-28 - 2015-07-04,23,32,57,38,1
2015-07-05 - 2015-07-11,23,32,58,34,1
2015-07-12 - 2015-07-18,24,30,61,34,1
2015-07-19 - 2015-07-25,24,30,61,35,1
2015-07-26 - 2015-08-01,24,31,64,34,1
2015-08-02 - 2015-08-08,24,31,64,36,1
2015-08-09 - 2015-08-15,24,31,65,36,1
2015-08-16 - 2015-08-22,23,30,67,33,1
2015-08-23 - 2015-08-29,23,30,66,34,2
2015-08-30 - 2015-09-05,23,29,62,35,2
2015-09-06 - 2015-09-12,23,30,65,36,3
2015-09-13 - 2015-09-19,22,28,63,32,4
2015-09-20 - 2015-09-26,24,28,65,32,6
2015-09-27 - 2015-10-03,23,28,67,33,8
2015-10-04 - 2015-10-10,22,29,67,32,10
2015-10-11 - 2015-10-17,23,29,66,32,12
2015-10-18 - 2015-10-24,22,28,66,31,10
2015-10-25 - 2015-10-31,23,28,65,31,11
2015-11-01 - 2015-11-07,23,27,63,32,8
2015-11-08 - 2015-11-14,22,28,67,32,9
2015-11-15 - 2015-11-21,20,27,70,31,14
2015-11-22 - 2015-11-28,19,26,89,29,16
2015-11-29 - 2015-12-05,19,25,58,28,3
2015-12-06 - 2015-12-12,18,26,62,30,4
2015-12-13 - 2015-12-19,17,25,70,31,4
2015-12-20 - 2015-12-26,24,31,100,36,9
2015-12-27 - 2016-01-02,38,39,79,39,3
2016-01-03 - 2016-01-09,35,34,67,39,2
2016-01-10 - 2016-01-16,33,35,66,36,2
2016-01-17 - 2016-01-23,27,36,76,38,2
2016-01-24 - 2016-01-30,22,35,69,35,1
2016-01-31 - 2016-02-06,23,34,67,33,1
2016-02-07 - 2016-02-13,24,36,65,35,1
2016-02-14 - 2016-02-20,18,32,65,35,1
2016-02-21 - 2016-02-27,26,30,64,34,1
2016-02-28 - 2016-03-05,20,28,63,33,1
2016-03-06 - 2016-03-12,26,29,64,33,1
2016-03-13 - 2016-03-19,27,29,68,32,1
2016-03-20 - 2016-03-26,27,29,70,35,1
,,,,,
,,,,,
Top regions for health recipe,,,,,
Region,health recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
Australia,100,55,43,95,30
Canada,74,53,56,65,100
United States,53,42,43,55,76
United Kingdom,48,37,31,57,20
India,36,27,12,33,0
United Arab Emirates,0,29,18,56,0
Germany,0,1,1,2,0
Spain,0,0,1,0,0
France,0,0,1,1,0
Hong Kong,0,0,9,22,0
Indonesia,0,3,2,3,0
Ireland,0,31,40,46,0
Italy,0,0,1,2,0
Jamaica,0,0,60,0,0
Sri Lanka,0,40,0,0,0
Mexico,0,0,1,0,0
Malaysia,0,20,17,24,0
Netherlands,0,3,3,7,0
New Zealand,0,59,49,82,0
Philippines,0,30,20,100,0
Pakistan,0,100,16,70,0
Saudi Arabia,0,7,4,9,0
Sweden,0,0,3,0,0
Singapore,0,31,33,79,0
Thailand,0,0,1,0,0
Trinidad & Tobago,0,0,100,0,0
South Africa,0,33,36,63,0
,,,,,
Top regions for pizza recipe,,,,,
Region,health recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
Pakistan,0,100,16,70,0
New Zealand,0,59,49,82,0
Australia,100,55,43,95,30
Canada,74,53,56,65,100
United States,53,42,43,55,76
Sri Lanka,0,40,0,0,0
United Kingdom,48,37,31,57,20
South Africa,0,33,36,63,0
Ireland,0,31,40,46,0
Singapore,0,31,33,79,0
Philippines,0,30,20,100,0
United Arab Emirates,0,29,18,56,0
India,36,27,12,33,0
Malaysia,0,20,17,24,0
Saudi Arabia,0,7,4,9,0
Netherlands,0,3,3,7,0
Indonesia,0,3,2,3,0
Germany,0,1,1,2,0
Spain,0,0,1,0,0
France,0,0,1,1,0
Hong Kong,0,0,9,22,0
Italy,0,0,1,2,0
Jamaica,0,0,60,0,0
Mexico,0,0,1,0,0
Sweden,0,0,3,0,0
Thailand,0,0,1,0,0
Trinidad & Tobago,0,0,100,0,0
,,,,,
Top regions for bread recipe,,,,,
Region,health recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
Trinidad & Tobago,0,0,100,0,0
Jamaica,0,0,60,0,0
Canada,74,53,56,65,100
New Zealand,0,59,49,82,0
Australia,100,55,43,95,30
United States,53,42,43,55,76
Ireland,0,31,40,46,0
South Africa,0,33,36,63,0
Singapore,0,31,33,79,0
United Kingdom,48,37,31,57,20
Philippines,0,30,20,100,0
United Arab Emirates,0,29,18,56,0
Malaysia,0,20,17,24,0
Pakistan,0,100,16,70,0
India,36,27,12,33,0
Hong Kong,0,0,9,22,0
Saudi Arabia,0,7,4,9,0
Sweden,0,0,3,0,0
Netherlands,0,3,3,7,0
Indonesia,0,3,2,3,0
Thailand,0,0,1,0,0
Germany,0,1,1,2,0
Spain,0,0,1,0,0
France,0,0,1,1,0
Mexico,0,0,1,0,0
Italy,0,0,1,2,0
Sri Lanka,0,40,0,0,0
,,,,,
Top regions for pasta recipe,,,,,
Region,health recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
Philippines,0,30,20,100,0
Australia,100,55,43,95,30
New Zealand,0,59,49,82,0
Singapore,0,31,33,79,0
Pakistan,0,100,16,70,0
Canada,74,53,56,65,100
South Africa,0,33,36,63,0
United Kingdom,48,37,31,57,20
United Arab Emirates,0,29,18,56,0
United States,53,42,43,55,76
Ireland,0,31,40,46,0
India,36,27,12,33,0
Malaysia,0,20,17,24,0
Hong Kong,0,0,9,22,0
Saudi Arabia,0,7,4,9,0
Netherlands,0,3,3,7,0
Indonesia,0,3,2,3,0
Italy,0,0,1,2,0
Germany,0,1,1,2,0
France,0,0,1,1,0
Spain,0,0,1,0,0
Jamaica,0,0,60,0,0
Sri Lanka,0,40,0,0,0
Mexico,0,0,1,0,0
Sweden,0,0,3,0,0
Thailand,0,0,1,0,0
Trinidad & Tobago,0,0,100,0,0
,,,,,
Top regions for pumpkin pie recipe,,,,,
Region,health recipe,pizza recipe,bread recipe,pasta recipe,pumpkin pie recipe
Canada,74,53,56,65,100
United States,53,42,43,55,76
Australia,100,55,43,95,30
United Kingdom,48,37,31,57,20
United Arab Emirates,0,29,18,56,0
Germany,0,1,1,2,0
Spain,0,0,1,0,0
France,0,0,1,1,0
Hong Kong,0,0,9,22,0
Indonesia,0,3,2,3,0
Ireland,0,31,40,46,0
India,36,27,12,33,0
Italy,0,0,1,2,0
Jamaica,0,0,60,0,0
Sri Lanka,0,40,0,0,0
Mexico,0,0,1,0,0
Malaysia,0,20,17,24,0
Netherlands,0,3,3,7,0
New Zealand,0,59,49,82,0
Philippines,0,30,20,100,0
Pakistan,0,100,16,70,0
Saudi Arabia,0,7,4,9,0
Sweden,0,0,3,0,0
Singapore,0,31,33,79,0
Thailand,0,0,1,0,0
Trinidad & Tobago,0,0,100,0,0
South Africa,0,33,36,63,0
,,,,,
,,,,,
Top cities for health recipe,,,,,
City,health recipe,,,,
Melbourne (Australia),100,,,,
Sydney (Australia),86,,,,
London (United Kingdom),44,,,,
Perth (Australia),0,,,,
Singapore (Singapore),0,,,,
Quezon City (Philippines),0,,,,
New Delhi (India),0,,,,
Chennai (India),0,,,,
Bangalore (India),0,,,,
Mumbai (India),0,,,,
Brisbane (Australia),0,,,,
Los Angeles (United States),0,,,,
Chicago (United States),0,,,,
New York (United States),0,,,,
Toronto (Canada),0,,,,
,,,,,
Top cities for pizza recipe,,,,,
City,pizza recipe,,,,
Karachi (Pakistan),100,,,,
Lahore (Pakistan),81,,,,
Calgary (Canada),63,,,,
Adelaide (Australia),62,,,,
Vancouver (Canada),55,,,,
Brisbane (Australia),55,,,,
Melbourne (Australia),54,,,,
Perth (Australia),53,,,,
Auckland (New Zealand),51,,,,
Sydney (Australia),46,,,,
Toronto (Canada),40,,,,
Chicago (United States),39,,,,
Pune (India),37,,,,
Mumbai (India),35,,,,
Washington (United States),34,,,,
,,,,,
Top cities for bread recipe,,,,,
City,bread recipe,,,,
Portland (United States),100,,,,
Calgary (Canada),91,,,,
Ottawa (Canada),86,,,,
Denver (United States),83,,,,
Seattle (United States),82,,,,
Vancouver (Canada),75,,,,
Perth (Australia),68,,,,
Toronto (Canada),66,,,,
Brisbane (Australia),64,,,,
Auckland (New Zealand),61,,,,
Melbourne (Australia),58,,,,
Sydney (Australia),55,,,,
San Francisco (United States),54,,,,
Chicago (United States),54,,,,
Dublin (Ireland),51,,,,
,,,,,
Top cities for pasta recipe,,,,,
City,pasta recipe,,,,
Makati City (Philippines),100,,,,
Perth (Australia),91,,,,
Adelaide (Australia),90,,,,
Melbourne (Australia),87,,,,
Quezon City (Philippines),86,,,,
Sydney (Australia),76,,,,
Brisbane (Australia),75,,,,
Singapore (Singapore),65,,,,
Karachi (Pakistan),65,,,,
Auckland (New Zealand),64,,,,
Lahore (Pakistan),62,,,,
Toronto (Canada),61,,,,
Calgary (Canada),59,,,,
Seattle (United States),57,,,,
San Francisco (United States),51,,,,
,,,,,
Top cities for pumpkin pie recipe,,,,,
City,pumpkin pie recipe,,,,
Seattle (United States),100,,,,
Vancouver (Canada),92,,,,
Calgary (Canada),90,,,,
Denver (United States),83,,,,
Toronto (Canada),67,,,,
San Francisco (United States),64,,,,
Dallas (United States),62,,,,
Chicago (United States),55,,,,
Washington (United States),54,,,,
Los Angeles (United States),54,,,,
Atlanta (United States),50,,,,
Houston (United States),46,,,,
New York (United States),45,,,,
Brisbane (Australia),28,,,,
Melbourne (Australia),22,,,,
,,,,,
,,,,,
,,,,,
Top searches for health recipe,,,,,
health recipes,100,,,,
health food recipe,65,,,,
health chicken recipe,60,,,,
health salad recipe,30,,,,
health bread recipe,30,,,,
health potion skyrim,20,,,,
health smoothie recipe,20,,,,
health bar recipe,15,,,,
health drink recipe,15,,,,
health bars recipe,10,,,,
health balls recipe,5,,,,
turmeric health benefits,5,,,,
kombucha recipe,5,,,,
bone broth recipe,5,,,,
cultures for health,5,,,,
quinoa health benefits,5,,,,
green juice recipe,5,,,,
,,,,,
,,,,,
Top searches for pizza recipe,,,,,
pizza dough recipe,100,,,,
pizza dough,100,,,,
pizza sauce,30,,,,
recipe pizza sauce,30,,,,
pizza crust recipe,25,,,,
recipe for pizza,25,,,,
pizza crust,25,,,,
pizza recipes,20,,,,
chicken pizza recipe,20,,,,
bread pizza recipe,15,,,,
bread pizza,15,,,,
recipe of pizza,15,,,,
pizza recipe easy,15,,,,
best pizza recipe,15,,,,
pizza hut recipe,15,,,,
pizza base recipe,15,,,,
pizza base,15,,,,
cheese pizza recipe,15,,,,
homemade pizza,15,,,,
homemade pizza recipe,10,,,,
pizza cake,5,,,,
pizza cake recipe,5,,,,
italian pizza recipe,5,,,,
italian pizza,5,,,,
easy pizza dough,5,,,,
best pizza dough,5,,,,
fruit pizza recipe,5,,,,
fruit pizza,5,,,,
white pizza recipe,5,,,,
cauliflower pizza,5,,,,
cauliflower pizza recipe,5,,,,
gluten free pizza,5,,,,
healthy pizza recipe,5,,,,
pizza pie recipe,5,,,,
chocolate pizza recipe,5,,,,
pan pizza recipe,5,,,,
pan pizza,5,,,,
pizza dip,5,,,,
pizza dip recipe,5,,,,
garlic pizza recipe,5,,,,
simple pizza recipe,5,,,,
homemade pizza dough,5,,,,
pizza roll recipe,5,,,,
pizza rolls recipe,5,,,,
breakfast pizza recipe,5,,,,
breakfast pizza,5,,,,
pizza rolls,5,,,,
flatbread pizza recipe,5,,,,
cookie pizza recipe,5,,,,
flatbread pizza,5,,,,
,,,,,
,,,,,
Top searches for bread recipe,,,,,
banana bread,100,,,,
banana bread recipe,100,,,,
recipe for bread,40,,,,
bread recipes,30,,,,
easy bread recipe,20,,,,
bread pudding recipe,20,,,,
bread pudding,20,,,,
best bread recipe,20,,,,
garlic bread recipe,15,,,,
bread machine recipe,15,,,,
garlic bread,15,,,,
cheese bread recipe,10,,,,
chicken bread recipe,10,,,,
gluten free bread,10,,,,
wheat bread recipe,10,,,,
pizza bread recipe,10,,,,
white bread recipe,10,,,,
french bread,10,,,,
french bread recipe,10,,,,
zucchini bread,10,,,,
zucchini bread recipe,10,,,,
zucchini recipe,10,,,,
pumpkin bread recipe,10,,,,
pumpkin bread,10,,,,
bread dough recipe,10,,,,
soda bread recipe,10,,,,
soda bread,10,,,,
monkey bread recipe,5,,,,
monkey bread,5,,,,
homemade bread recipe,5,,,,
homemade bread,5,,,,
naan bread,5,,,,
naan bread recipe,5,,,,
naan recipe,5,,,,
bread roll recipe,5,,,,
sourdough bread recipe,5,,,,
sourdough bread,5,,,,
banana nut bread,5,,,,
easy banana bread,5,,,,
simple bread recipe,5,,,,
bread sauce recipe,5,,,,
sweet bread recipe,5,,,,
corn bread recipe,5,,,,
corn bread,5,,,,
pita bread,5,,,,
pita bread recipe,5,,,,
bread rolls recipe,5,,,,
italian bread recipe,5,,,,
italian bread,5,,,,
brown bread recipe,5,,,,
,,,,,
,,,,,
Top searches for pasta recipe,,,,,
pasta sauce recipe,100,,,,
pasta sauce,100,,,,
pasta recipes,90,,,,
chicken pasta recipe,80,,,,
chicken pasta,75,,,,
pasta salad,70,,,,
recipe pasta salad,70,,,,
recipe for pasta,65,,,,
easy pasta recipe,35,,,,
recipe of pasta,30,,,,
tomato pasta recipe,30,,,,
cheese pasta recipe,30,,,,
shrimp pasta,25,,,,
shrimp pasta recipe,25,,,,
pesto,25,,,,
pesto recipe pasta,25,,,,
pesto pasta,25,,,,
pesto recipe,25,,,,
white pasta recipe,25,,,,
alfredo pasta,20,,,,
pasta alfredo recipe,20,,,,
alfredo recipe,20,,,,
italian pasta recipe,20,,,,
chicken pasta recipes,20,,,,
best pasta recipe,20,,,,
pasta bake recipe,20,,,,
pasta bake,20,,,,
cream pasta recipe,20,,,,
white sauce recipe,15,,,,
white sauce pasta,15,,,,
spaghetti recipe,15,,,,
pasta sausage recipe,15,,,,
tuna pasta recipe,15,,,,
tuna pasta,15,,,,
red pasta recipe,15,,,,
pasta carbonara recipe,15,,,,
carbonara pasta,15,,,,
creamy pasta recipe,15,,,,
tomato sauce recipe,15,,,,
carbonara,15,,,,
carbonara recipe,15,,,,
homemade pasta,15,,,,
homemade pasta recipe,15,,,,
easy pasta recipes,15,,,,
fresh pasta recipe,15,,,,
mushroom pasta recipe,10,,,,
salmon pasta recipe,10,,,,
salmon recipe,10,,,,
healthy pasta recipe,10,,,,
pasta salad recipes,10,,,,
,,,,,
,,,,,
Top searches for pumpkin pie recipe,,,,,
pie crust recipe,100,,,,
pumpkin pie crust,100,,,,
pie crust,100,,,,
pumpkin spice recipe,95,,,,
pumpkin spice,95,,,,
pumpkin pie spice,95,,,,
pumpkin pie recipes,90,,,,
pumpkin recipes,90,,,,
pie recipes,85,,,,
easy pumpkin pie,85,,,,
best pumpkin pie,75,,,,
apple pie recipe,70,,,,
pecan pie recipe,55,,,,
pecan pie,55,,,,
pumpkin pecan pie,50,,,,
pumpkin cake recipe,50,,,,
pumpkin pie cheesecake,50,,,,
pumpkin pie cake,50,,,,
pumpkin cake,50,,,,
pumpkin cheesecake,50,,,,
pumpkin cheesecake recipe,45,,,,
pumpkin pie filling,40,,,,
fresh pumpkin pie,35,,,,
homemade pumpkin pie,35,,,,
pumpkin bread recipe,35,,,,
pumpkin bread,30,,,,
sugar pumpkin,25,,,,
pumpkin pie minecraft,20,,,,
vegan pumpkin pie,20,,,,
pumpkin cookies,20,,,,
pumpkin soup recipe,15,,,,
canned pumpkin,15,,,,
healthy pumpkin pie,15,,,,
pumpkin puree recipe,15,,,,
pumkin pie recipe,15,,,,
pumkin pie,15,,,,
pumpkin puree,15,,,,
pumpkin bars,15,,,,
pumpkin pie bars,15,,,,
pumpkin roll recipe,15,,,,
pumpkin roll,15,,,,
libby pumpkin pie,15,,,,
pumpkin muffins recipe,15,,,,
libbys pumpkin pie,10,,,,
pumpkin desserts,10,,,,
graham cracker crust,10,,,,
easy pie crust,10,,,,
,,,,,
,,,,,
,,,,,
Rising searches for health recipe,,,,,
bone broth recipe,180%,,,,
cultures for health,40%,,,,
turmeric health benefits,40%,,,,
,,,,,
,,,,,
Rising searches for pizza recipe,,,,,
pizza cones recipe,100%,,,,
pizza cone recipe,90%,,,,
pizza ring recipe,90%,,,,
margarita pizza,60%,,,,
margarita recipe,60%,,,,
margarita pizza recipe,50%,,,,
pizza dip,40%,,,,
pizza dip recipe,40%,,,,
,,,,,
,,,,,
Rising searches for bread recipe,,,,,
cloud bread recipe,600%,,,,
bread pakora recipe,70%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for pumpkin pie recipe,,,,,
cake recipe minecraft,200%,,,,
pumpkin pie minecraft,90%,,,,
pumpkin pie spices,50%,,,,
pumpkin pie recipie,40%,,,,
